Areaname,STCOU,SEX100200F,SEX100200D,SEX100200N1,SEX100200N2,SEX100210F,SEX100210D,SEX100210N1,SEX100210N2,SEX120200F,SEX120200D,SEX120200N1,SEX120200N2,SEX150200F,SEX150200D,SEX150200N1,SEX150200N2,SEX150201F,SEX150201D,SEX150201N1,SEX150201N2,SEX150202F,SEX150202D,SEX150202N1,SEX150202N2,SEX150203F,SEX150203D,SEX150203N1,SEX150203N2,SEX150204F,SEX150204D,SEX150204N1,SEX150204N2,SEX150205F,SEX150205D,SEX150205N1,SEX150205N2,SEX150206F,SEX150206D,SEX150206N1,SEX150206N2
"Mineral, NV",32021,0,2556,0000,0000,0,2350,0000,0000,0,2556,0000,0000,0,2529,0000,0000,0,2433,0000,0000,0,2357,0000,0000,0,2366,0000,0000,0,2424,0000,0000,0,2407,0000,0000,0,2391,0000,0000
"Nye, NV",32023,0,16650,0000,0000,0,22186,0000,0000,0,16662,0000,0000,0,16873,0000,0000,0,17252,0000,0000,0,17582,0000,0000,0,18078,0000,0000,0,18958,0000,0000,0,20349,0000,0000,0,21613,0000,0000
"Pershing, NV",32027,0,4107,0000,0000,0,4268,0000,0000,0,4107,0000,0000,0,4086,0000,0000,0,4024,0000,0000,0,4027,0000,0000,0,3942,0000,0000,0,3918,0000,0000,0,3927,0000,0000,0,3932,0000,0000
"Storey, NV",32029,0,1762,0000,0000,0,2044,0000,0000,0,1762,0000,0000,0,1759,0000,0000,0,1773,0000,0000,0,1765,0000,0000,0,1823,0000,0000,0,1904,0000,0000,0,2087,0000,0000,0,2155,0000,0000
"Washoe, NV",32031,0,172080,0000,0000,0,212744,0000,0000,0,172080,0000,0000,0,173091,0000,0000,0,178235,0000,0000,0,183221,0000,0000,0,187893,0000,0000,0,193070,0000,0000,0,198059,0000,0000,0,201836,0000,0000
"White Pine, NV",32033,0,5164,0000,0000,0,5681,0000,0000,0,5164,0000,0000,0,5086,0000,0000,0,4917,0000,0000,0,4857,0000,0000,0,4806,0000,0000,0,4798,0000,0000,0,5002,0000,0000,0,5128,0000,0000
"Carson City city, NV",32510,0,27102,0000,0000,0,28688,0000,0000,0,27102,0000,0000,0,27150,0000,0000,0,27571,0000,0000,0,28044,0000,0000,0,28397,0000,0000,0,28764,0000,0000,0,28764,0000,0000,0,28497,0000,0000
NEW HAMPSHIRE,33000,0,607687,0000,0000,0,649394,0000,0000,0,607687,0000,0000,0,610026,0000,0000,0,618377,0000,0000,0,625841,0000,0000,0,631812,0000,0000,0,636859,0000,0000,0,641315,0000,0000,0,646745,0000,0000
"Belknap, NH",33001,0,27742,0000,0000,0,29480,0000,0000,0,27742,0000,0000,0,27873,0000,0000,0,28491,0000,0000,0,29070,0000,0000,0,29568,0000,0000,0,29942,0000,0000,0,30023,0000,0000,0,29955,0000,0000
"Carroll, NH",33003,0,21455,0000,0000,0,23686,0000,0000,0,21453,0000,0000,0,21576,0000,0000,0,21717,0000,0000,0,22172,0000,0000,0,22513,0000,0000,0,22914,0000,0000,0,22961,0000,0000,0,23375,0000,0000
